# CATH_ID	S35_REPS	DOMAINS	NAME
1.10.238.80	1	1	Hypothetical protein MTH865
1.10.238.90	1	2	
1.10.238.100	1	1	YAP1 redox domain. Chain B
1.10.238.110	1	1	Diacylglycerol kinase alpha.
1.10.238.120	1	4	Jann4075-like
1.10.239.10	2	16	Fungal elicitin
1.10.240.10	16	195	Tyrosyl-Transfer RNA Synthetase
1.10.245.10	6	155	MDM2
1.10.246.10	12	912	
1.10.246.20	3	11	
1.10.246.30	1	39	
1.10.246.40	1	7	Tn5 transposase; domain 1
1.10.246.60	1	4	Eukaryotic translation initiation factor 3 like domains
1.10.250.10	1	19	Bluetongue Virus 10, subunit 1, domain 1
1.10.260.30	4	22	
1.10.260.40	67	518	lambda repressor-like DNA-binding domains
1.10.268.10	7	30	Topoisomerase, domain 3
1.10.269.10	1	8	Adenovirus Single-stranded Dna-binding Protein, domain 1
1.10.274.10	1	18	Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain
1.10.274.20	3	54	Phenylalanine ammonia-lyase 1; domain 3
1.10.275.10	15	336	Fumarase/aspartase (N-terminal domain)
1.10.285.10	1	42	Glutamate Dehydrogenase, chain A, domain 3
1.10.286.10	2	160	
1.10.286.20	2	13	
1.10.286.30	1	3	
1.10.286.40	3	9	Chlorophyll a-b binding protein like
1.10.287.10	5	371	
1.10.287.20	2	59	
1.10.287.30	1	12	
1.10.287.40	4	22	
1.10.287.70	21	346	
1.10.287.80	7	95	
1.10.287.90	4	80	
1.10.287.100	8	43	
1.10.287.110	19	69	
1.10.287.120	1	1	Neurotoxin B-IV
1.10.287.130	5	27	
1.10.287.140	1	108	
1.10.287.150	3	26	
1.10.287.160	4	17	HR1 repeat
1.10.287.170	1	2	
1.10.287.180	3	16	
1.10.287.190	1	4	
1.10.287.210	13	107	
1.10.287.230	2	35	
1.10.287.260	2	17	
1.10.287.280	1	17	
1.10.287.310	4	117	
1.10.287.320	1	1	
1.10.287.340	1	1	
1.10.287.370	4	9	
1.10.287.380	1	4	
1.10.287.390	2	2	
1.10.287.400	1	4	
1.10.287.410	1	3	
1.10.287.420	1	5	
1.10.287.440	1	30	
1.10.287.450	3	25	Helix hairpin bin
1.10.287.460	2	6	Helix hairpin bin
1.10.287.470	5	68	Helix hairpin bin
1.10.287.480	1	3	helix hairpin bin
1.10.287.490	1	2	Helix hairpin bin
1.10.287.500	1	1	Helix hairpin bin
1.10.287.510	1	2	Helix hairpin bin
1.10.287.520	2	2	Helix hairpin bin
1.10.287.540	7	45	Helix hairpin bin
1.10.287.550	1	1	Helix hairpin bin
1.10.287.560	1	2	Helical hairpin bin
1.10.287.570	1	1	Helical hairpin bin
1.10.287.580	2	3	Helix hairpin bin
1.10.287.600	6	148	Helix hairpin bin
1.10.287.610	5	349	Helix hairpin bin
1.10.287.620	1	6	Helix Hairpins
1.10.287.630	1	28	Helix hairpin bin
1.10.287.650	6	17	Helix hairpin bin
1.10.287.660	4	9	Helix hairpin bin
1.10.287.670	2	18	NblA-like
1.10.287.680	2	32	Helix hairpin bin
1.10.287.690	7	76	Helix hairpin bin
1.10.287.700	1	1	Helix hairpin bin
1.10.287.710	1	21	Helix hairpin bin
1.10.287.720	1	1	Pollen allergen ole e 6
1.10.287.730	1	2	Helix hairpin bin
1.10.287.740	1	25	Helix hairpin bin
1.10.287.750	3	12	SO2669-like
1.10.287.760	1	3	YqgQ-like
1.10.287.770	3	24	YojJ-like
1.10.287.780	1	2	ITPase-like domains
1.10.287.790	1	8	luxt domain from vibrio parahaemolyticus
1.10.287.800	1	2	protein ne1242 
1.10.287.810	5	18	Mitochondrial import inner membrane translocase subunit tim13 like domains
1.10.287.820	1	22	Acid-sensing ion channel domain
1.10.287.830	2	3	putative peptidase helix hairpin domain like
1.10.287.840	1	1	Mycolic acid cyclopropane synthase domain like
1.10.287.850	2	37	HP0062-like
1.10.287.860	1	4	Nucleotidyltransferase
1.10.287.870	1	3	Acyl-CoA N-acyltransferases (Nat) 
1.10.287.880	1	1	Hypothetical protein YfhH domain
1.10.287.890	2	10	Crystal structure of tRNA isopentenylpyrophosphate transferase (bh2366) domain
1.10.287.900	1	1	The crystal structure of the spermine/spermidine acetyltransferase from enterococcus faecali
1.10.287.910	2	2	bacterial mercury transporter, merf
1.10.287.920	1	1	Pheromone alpha factor receptor.
1.10.287.930	1	1	Mammalian shaker kv1.2 potassium channel- beta subunit complex
1.10.287.940	1	6	atp-gated p2x4 ion channel 
1.10.287.950	2	6	Methyl-accepting chemotaxis protein
1.10.287.970	1	1	His Kinase A (phosphoacceptor) domain
1.10.287.980	1	17	plastocyanin oxidoreductase
1.10.287.990	6	293	Fe,Mn superoxide dismutase (SOD) domain
1.10.287.1010	1	29	Clavaminate synthase-like 
1.10.287.1020	1	1	NE0241-like 
1.10.287.1030	1	2	Nudix-associated domain 
1.10.287.1040	1	6	XseB-like
1.10.287.1050	1	2	H-NS histone-like proteins
1.10.287.1060	9	45	ESAT-6 like
1.10.287.1070	1	1	Nuclear receptor coactivator interlocking domain 
1.10.287.1080	11	68	MazG-like 
1.10.287.1090	2	4	Dimerisation domain of CENP-B
1.10.287.1100	1	2	Sporulation inhibitor
1.10.287.1110	1	1	Tubulin, GTPase
1.10.287.1120	1	2	Bipartite methylase S protein
1.10.287.1130	3	5	CytochromE C oxidase copper chaperone
1.10.287.1140	1	1	EspA/CesA-like
1.10.287.1150	1	43	TPP helical domain
1.10.287.1160	1	3	flagellar sigma/anti-sigma complex
1.10.287.1170	1	4	glycoside hydrolase family 81 endo-[beta] glucanase 
1.10.288.10	2	8	Cobalamin-dependent Methionine Synthase, domain 2
1.10.290.10	3	40	Topoisomerase I, domain 4
1.10.300.10	4	56	Adenylosuccinate Synthetase, subunit A, domain 2
1.10.340.20	1	2	Hypothetical protein - apc36109-like domain
1.10.340.30	15	172	Hypothetical protein; domain 2
1.10.357.10	123	645	Tetracycline Repressor, domain 2
1.10.357.20	1	6	Magnesium transporter mgtE
1.10.375.10	8	143	Human Immunodeficiency Virus Type 1 Capsid Protein
1.10.390.10	7	234	Neutral Protease Domain 2
1.10.400.10	4	105	GI Alpha 1, domain 2-like
1.10.400.20	1	5	putative tagatose 6-phosphate kinase domain like
1.10.405.10	6	154	Guanine Nucleotide Dissociation Inhibitor, domain 1
1.10.418.10	24	160	Actin-binding Protein, T-fimbrin; domain 1
1.10.420.10	8	482	Peroxidase, domain 2
1.10.437.10	14	132	Apoptosis Regulator Bcl-x
1.10.439.10	5	79	Penicillin Amidohydrolase, domain 1
1.10.440.10	1	8	T4 endonuclease V
1.10.441.10	2	5	Phosphomannose Isomerase, domain 2
1.10.442.10	1	52	Cytochrome C Oxidase, chain D
1.10.443.10	5	88	Intergrase catalytic core
1.10.455.10	2	373	Ribosomal Protein S7;
1.10.460.10	4	36	Topoisomerase I, domain 2
1.10.468.10	2	52	Photosynthetic Reaction Center, subunit C, domain 2
1.10.470.10	2	4	Variant Surface Glycoprotein, subunit A, domain 2
1.10.472.10	30	627	
1.10.472.20	2	66	
1.10.472.30	1	1	Elongation factor TFIIS domain 2
1.10.472.40	1	1	Hypothetical protein mg237 homolog; domain 3
1.10.472.50	3	13	HD-domain/PDEase-like
1.10.472.60	1	1	putative protein disulfide isomerase domain
1.10.486.10	8	40	PCRA; domain 4
1.10.489.10	1	13	Chloroperoxidase
1.10.490.10	43	2451	Globins
1.10.490.20	5	312	Phycocyanins
1.10.490.30	2	7	Colicin
1.10.490.40	1	12	Diphtheria toxin, middle domain
1.10.490.50	1	1	Antibiotic binding domain of TipA-like multidrug resistance regulators
1.10.506.10	5	8	GTPase Activation - p120gap; domain 1
1.10.510.10	112	4599	Transferase(Phosphotransferase) domain 1
1.10.520.10	10	533	
1.10.520.20	2	6	N-terminal domain of the delta subunit of the F1F0-ATP synthase
1.10.520.30	2	3	AF1862-like
1.10.530.10	18	1138	
1.10.530.40	5	716	
1.10.532.10	1	3	Transcription Factor, Stat-4;
1.10.533.10	42	177	Death Domain, Fas
1.10.540.10	26	287	Butyryl-Coa Dehydrogenase, subunit A, domain 1
1.10.555.10	14	38	GTPase -GAP domain
1.10.560.10	8	510	GROEL, domain 1
1.10.565.10	30	1335	Retinoid X Receptor
1.10.569.10	1	10	Aldehyde Ferredoxin Oxidoreductase Protein, subunit A, domain 2
1.10.575.10	4	37	P1 Nuclease
1.10.579.10	4	65	DNA Cyclobutane Dipyrimidine Photolyase, subunit A, domain 3
1.10.580.10	4	112	Citrate Synthase, domain 1
1.10.590.10	1	10	Chorismate Mutase, subunit A
1.10.599.10	2	10	Aldehyde Ferredoxin Oxidoreductase Protein, subunit A, domain 3
1.10.600.10	40	705	Farnesyl Diphosphate Synthase
1.10.601.10	1	23	RNA Polymerase Primary Sigma Factor
1.10.606.10	3	22	Vanadium-containing Chloroperoxidase, domain 2
1.10.620.20	17	440	Ribonucleotide Reductase, subunit A
1.10.630.10	48	1132	Cytochrome p450
1.10.640.10	3	242	Myeloperoxidase, subunit C
1.10.645.10	2	107	Cytochrome-c3 Hydrogenase, chain B
1.10.700.10	1	4	LigA subunit of an aromatic-ring-opening dioxygenase LigAB
1.10.720.10	4	19	
1.10.720.30	5	9	
1.10.720.40	3	6	
1.10.720.50	1	11	PWWP, helical domain
1.10.730.10	17	137	Isoleucyl-tRNA Synthetase; Domain 1
1.10.740.10	1	9	Transferase Inhibitor Protein From Tn5; Chain
1.10.750.10	1	87	Elongin C, Chain C domain 1
1.10.760.10	46	736	Cytochrome c
1.10.780.10	1	11	Hydroxylamine Oxidoreductase; Chain A, domain 1
1.10.790.10	5	81	Major Prion Protein
1.10.800.10	3	50	Phenylalanine Hydroxylase
1.10.820.10	2	58	RNA Helicase Chain A , domain 3
1.10.840.10	6	27	Son of sevenless (Sos) protein Chain
1.10.860.10	4	18	DNAb Helicase; Chain A
1.10.870.10	1	3	Class II MHC-associated invariant chain ectoplasmic trimerization domain
1.10.880.10	2	4	A DNA-binding domain in eukaryotic transcription factors
1.10.890.10	1	9	Protein HNS-dependent expression A; HdeA
1.10.890.20	3	23	
1.10.930.10	1	9	Syk Kinase; Chain A, domain 2
1.10.940.10	6	34	N-utilizing Substance Protein B Homolog; Chain A
1.10.950.10	3	21	Villin Headpiece Domain; Chain A
1.10.1000.11	2	36	Arf Nucleotide-binding Site Opener,domain 2
1.10.1020.10	3	36	Adenine-specific Methyltransferase, Domain 2
1.10.1030.10	2	40	Carbamoyl Phosphate Synthetase; Chain A, domain 4
1.10.1040.10	37	260	N-(1-d-carboxylethyl)-l-norvaline Dehydrogenase; domain 2
1.10.1040.20	2	4	ProC C-terminal domain-like 
1.10.1050.10	2	319	Ribosomal Protein S4 Delta 41; Chain A, domain 1
1.10.1060.10	4	118	Fumarate Reductase Iron-sulfur Protein; Chain B, domain 2
1.10.1070.11	3	145	Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, domain 5
1.10.1080.10	2	11	Glutathione Synthetase; Chain A, domain 3
1.10.1090.10	2	61	Cytochrome Bc1 Complex; Chain F
1.10.1100.10	1	1	TAF(II)230 TBP-binding fragment
1.10.1130.10	6	94	Flavocytochrome C3; Chain A
1.10.1140.10	1	173	Bovine Mitochondrial F1-atpase; Atp Synthase Beta Chain; Chain D, domain 3
1.10.1160.10	3	53	Glutamyl-trna Synthetase; Domain 2
1.10.1170.10	11	244	Inhibitor Of Apoptosis Protein (2mihbC-IAP-1); Chain A
1.10.1180.10	1	1	C-terminal domain of B transposition protein
1.10.1200.10	33	119	
1.10.1200.20	1	50	
1.10.1200.30	4	38	
1.10.1200.50	1	2	
1.10.1200.60	1	66	
1.10.1200.70	1	1	Glutamyl tRNA-reductase dimerization domain
1.10.1200.80	1	1	Putative flavin oxidoreducatase; domain 2
1.10.1200.90	1	1	DsbA-like domain
1.10.1200.100	1	2	conserved protein domain from corynebacterium diphtheriae
1.10.1220.10	17	135	Met repressor-like
1.10.1240.10	4	18	Methyltransferase
1.10.1240.20	2	6	
1.10.1240.30	2	22	KaiA/RbsU domain
1.10.1270.10	2	45	TrpR-like
1.10.1270.20	6	24	tRNA(m1g37)methyltransferase, domain 2
1.10.1280.10	6	108	Di-copper center containing domain from catechol oxidase
1.10.1290.10	1	1	Conserved core of transcriptional regulatory protein vp16
1.10.1300.10	10	484	Catalytic domain of cyclic nucleotide phosphodiesterase 4b2b
1.10.1320.10	1	17	T7 RNA polymerase, domain 1
1.10.1330.10	1	2	Type 1 dockerin domain
1.10.1350.10	1	40	Viral capsid alpha domain
1.10.1370.10	1	6	Neurolysin, domain 3
1.10.1380.10	4	12	Neutral endopeptidase , domain2
1.10.1390.10	4	82	
1.10.1400.10	4	77	
1.10.1410.10	1	13	
1.10.1410.20	1	3	2'-5'-oligoadenylate synthetase 1, domain 2
1.10.1420.10	6	45	
1.10.1440.10	1	2	
1.10.1450.10	1	19	Tetraspanin
1.10.1470.10	1	3	
1.10.1470.20	1	5	Fatty acid synthase; domain 2
1.10.1490.10	2	2	C-terminal domain of DFF45/ICAD (DFF-C domain)
1.10.1500.10	1	12	
1.10.1510.10	1	1	
1.10.1520.10	8	76	
1.10.1530.10	8	39	
1.10.1540.10	1	6	BEACH domain
1.10.1580.10	2	4	
1.10.1600.10	2	4	
1.10.1610.10	4	50	
1.10.1620.10	2	118	Ribosomal protein L39e
1.10.1620.20	1	5	
1.10.1630.10	1	2	
1.10.1650.10	2	118	
1.10.1660.10	11	43	
1.10.1660.20	2	9	
1.10.1670.10	11	111	Helix-hairpin-Helix base-excision DNA repair enzymes (C-terminal)
1.10.1690.10	1	1	
1.10.1710.10	3	13	
1.10.1720.10	1	4	
1.10.1740.10	12	124	
1.10.1740.30	1	2	Secreted effector protein SifA helical domain
1.10.1750.10	2	14	
1.10.1760.10	1	17	Arp2/3 complex 21 kDa subunit ARPC3
1.10.1780.10	7	58	Double Clp-N motif
1.10.1790.10	3	7	PTS-regulatory domain, PRD
1.10.1810.10	1	8	Anti-sigma factor AsiA
1.10.1820.10	1	36	protein kinase ck2 holoenzyme, chain C, domain 1
1.10.1840.10	2	174	main proteinase (3clpro) structure, domain 3
1.10.1850.10	1	10	Scaffolding protein gpD of bacteriophage procapsid
1.10.1860.10	2	17	N-terminal alpha-helical clasp
1.10.1870.10	1	12	Domain 3, Saccharopine reductase
1.10.1900.10	4	9	c-terminal domain of poly(a) binding protein
1.10.1900.20	1	6	Ribosomal protein L20
1.10.2000.10	2	14	Frizzled cysteine-rich domain
1.10.2010.10	1	1	Crustacean CHH/MIH/GIH neurohormone
1.10.2020.10	4	82	uronate isomerase, domain 2, chain A
1.10.2030.10	1	17	Anthrax toxin lethal factor, domain 3, chain A
1.10.2040.10	1	3	Protein mu-1, chain B, domain 2
1.10.2050.10	2	13	Protein mu-1, chain B, domain 3
1.10.2060.10	1	1	PutA proline dehydrogenase (PRODH), domain 2
1.10.2080.10	1	8	Chemosensory protein Csp2
1.10.2090.10	1	14	orange carotenoid protein, domain 2
1.10.3020.10	2	55	alpha-amino acid ester hydrolase ( Helical cap domain)
1.10.3030.10	1	1	Gametocyte protein Pfg27
1.10.3040.10	1	2	borna disease virus nucleoprotein, domain 1
1.10.3050.10	1	2	borna disease virus nucleoprotein, domain 2
1.10.3060.10	3	14	Helical scaffold and wing domains of SecA
1.10.3070.10	1	2	Hypothetical protein MTH393
1.10.3080.10	2	92	Clc chloride channel
1.10.3090.10	3	6	cca-adding enzyme, domain 2
1.10.3100.10	2	6	Putative cytoplasmic protein
1.10.3110.10	2	3	protoporphyrinogen ix oxidase, domain 3
1.10.3120.10	1	2	Trigger factor, domain 2
1.10.3130.10	2	61	serine acetyltransferase, domain 1
1.10.3140.10	3	18	4-hydroxybutyryl-coa dehydratase, domain 1
1.10.3160.10	4	10	Bbcrasp-1
1.10.3170.10	1	4	Recbcd, chain B, domain 2
1.10.3180.10	1	1	DNA-binding domain of EIN3-like
1.10.3190.10	1	32	yfbu gene product, domain 2
1.10.3200.10	1	2	AF0941-like
1.10.3210.10	16	169	Hypothetical protein af1432
1.10.3230.10	1	2	Hypothetical protein yqbg
1.10.3250.10	1	4	type ii restriction endonuclease, domain 1
1.10.3260.10	1	1	ATP-dependent DNA ligase DNA-binding domain
1.10.3270.10	4	89	HMGR, N-terminal domain
1.10.3280.10	1	3	Siroheme synthase; domain 3
1.10.3290.10	2	27	Fic-like domain
1.10.3300.10	1	2	Jann2411-like domain
1.10.3320.10	1	1	pa2218 like domain
1.10.3330.10	4	26	UraD-like domains
1.10.3340.10	2	4	SMc04008-like domain
1.10.3350.10	1	7	HP0242-like domain
1.10.3360.10	1	6	VPA0735-like domain
1.10.3370.10	2	6	Preprotein translocase SecY subunit domain
1.10.3380.10	1	1	Sec63 N-terminal domain-like domain
1.10.3390.10	1	10	YejL-like
1.10.3400.10	1	2	af_2093 domain like
1.10.3410.10	2	3	putative deoxyguanosinetriphosphate triphosphohydrolase like domain
1.10.3420.10	1	3	putative ntp pyrophosphohydrolase like domain
1.10.3430.10	4	52	Ammonium transporter AmtB like domains
1.10.3440.10	1	1	Sama2622-like
1.10.3450.10	2	2	TTHA0068-like
1.10.3460.10	3	16	Chlorophyll a-b binding protein 
1.10.3470.10	2	16	ABC transporter involved in vitamin B12 uptake, BtuC
1.10.3480.10	2	22	TorD-like
1.10.3490.10	1	2	PH0156-like
1.10.3500.10	2	5	Tex N-terminal region-like 
1.10.3510.10	1	2	NMB0513-like
1.10.3520.10	4	66	Glycolipid transfer protein, GLTP 
1.10.3530.10	1	1	Api92-like
1.10.3540.10	1	2	uncharacterized protein from magnetospirillum magneticum domain
1.10.3550.10	2	3	eoxyguanosinetriphosphate triphosphohydrolase domain-like
1.10.3560.10	1	1	yst0336 like domain
1.10.3570.10	2	72	Rhabdovirus nucleocapsid protein like domain
1.10.3580.10	1	7	ATP12 ATPase
1.10.3590.10	1	22	acid-sensing ion channel 1 domain
1.10.3600.10	1	4	uncharacterized protein encoded by cryptic prophage domain
1.10.3610.10	2	72	Nucleoprotein
1.10.3620.10	1	2	YdcF like domain
1.10.3630.10	1	10	yeast vps74-n-term truncation variant domain like
1.10.3640.10	1	2	putative oxidoreductase like domain
1.10.3650.10	1	12	nitrate reductase domain like
1.10.3660.10	1	2	6-phosphogluconate dehydrogenase C-terminal like domain
1.10.3670.10	2	6	Putative xylanase like domain
1.10.3680.10	2	6	TerB-like 
1.10.3690.10	1	8	PA2222-like domain
1.10.3700.10	1	2	AGR C 984p-like
1.10.3710.10	4	20	DNA polymerase III clamp loader subunits, C-terminal domain
1.10.3720.10	4	44	MetI-like
1.10.3730.10	3	40	ProC C-terminal domain-like
1.10.3740.10	1	2	SSO1389-like domains
1.10.3750.10	1	3	Hypothetical protein YhaI
1.10.3760.10	1	9	YutG-like
1.10.3780.10	2	13	SusD-like
1.10.3790.10	1	2	NinB
1.10.3800.10	1	2	ADP-ribosylation domain
1.10.3810.10	3	22	Penicillin binding protein transpeptidase domain
1.10.3820.10	1	8	Di-heme elbow motif domain
1.10.3830.10	1	3	Diacylglycerol kinase domain
1.10.3860.10	1	54	Proton glutamate symport protein
1.10.3870.10	1	1	AF1437-like domain superfamily
1.10.3880.10	2	3	YggX-like
1.10.3890.10	1	2	YcfC-like
1.10.3900.10	1	2	YacF-like
1.10.3910.10	2	3	SP0561-like
1.10.3920.10	1	3	PA2201 C-terminal domain-like
1.10.3930.10	2	24	Arginine deiminase
1.10.3940.10	1	1	AF_0924 domain
1.10.3950.10	1	4	putative ecf-type sigma factor negative effector from bacillus cereus
1.10.3960.10	1	1	Hypothetical protein MG354
1.10.3970.10	1	1	BSD domain-like
1.10.3980.10	1	1	ApbE-like superfamily
1.10.3990.20	1	4	protein bp1543
1.10.4000.10	3	10	Flagellar transcriptional activator FlhD
1.10.4010.10	2	8	Type II deoxyuridine triphosphatase
1.10.4020.10	2	9	DNA breaking-rejoining enzymes
1.10.4030.10	1	4	Porin chaperone SurA, peptide-binding domain
1.10.4040.10	1	15	Penicillinase repressor domain
1.10.4050.10	1	1	Glutamine synthase adenylyltransferase GlnE
1.10.4060.10	1	2	BPP1347 like domain
1.10.4070.10	1	2	putative redox-enzyme maturation protein domain
1.10.4080.10	5	22	ADP-ribosylglycohydrolase 
1.10.4090.10	1	26	Hepatitis B viral capsid (hbcag)
1.10.4100.10	2	6	2-methylcitrate dehydratase PrpD
1.10.4110.10	1	1	Invasion protein A domain
1.10.4120.10	1	4	SopE-like GEF domain
1.10.4140.10	1	13	effector protein (NleL)
1.10.4150.10	1	2	SipA N-terminal domain-like 
1.20.5.10	2	37	
1.20.5.20	1	2	
1.20.5.30	1	3	
1.20.5.40	1	10	
1.20.5.50	14	159	
1.20.5.70	2	10	
1.20.5.80	2	12	
1.20.5.90	1	1	
1.20.5.100	11	189	
1.20.5.110	26	98	
1.20.5.120	1	7	
1.20.5.130	1	1	
1.20.5.140	2	3	
